"dep","jour","hosp","rea","radc","dcc","dc","rad"
"17",2020-04-16,81,19,67,27,0,3
"18",2020-04-16,67,7,42,37,1,5
"19",2020-04-16,56,12,44,18,1,3
"21",2020-04-16,384,81,442,149,8,5
"22",2020-04-16,69,8,80,22,0,8
"23",2020-04-16,30,12,14,4,0,0
"24",2020-04-16,36,5,36,4,0,1
"25",2020-04-16,221,71,299,85,4,12
"26",2020-04-16,202,55,258,92,3,14
"27",2020-04-16,83,6,63,47,4,8
"28",2020-04-16,239,24,209,58,2,36
"29",2020-04-16,107,32,97,24,4,8
"2A",2020-04-16,69,13,60,36,0,1
"2B",2020-04-16,15,2,74,5,0,2
"30",2020-04-16,103,36,125,29,1,15
"31",2020-04-16,212,95,321,31,0,15
"32",2020-04-16,32,3,29,10,0,2
"33",2020-04-16,296,91,446,74,1,19
"34",2020-04-16,161,51,429,89,1,19
"35",2020-04-16,193,32,178,49,1,14
"36",2020-04-16,98,9,30,38,0,3
"37",2020-04-16,187,46,139,42,2,9
"38",2020-04-16,246,45,262,62,3,18
"39",2020-04-16,132,17,82,34,2,8
"40",2020-04-16,30,7,33,10,0,1
"41",2020-04-16,101,12,73,28,1,3
"42",2020-04-16,484,96,397,132,6,17
"43",2020-04-16,24,3,56,6,0,4
"44",2020-04-16,284,53,273,86,3,14
"45",2020-04-16,272,67,277,49,1,27
"46",2020-04-16,23,8,56,6,0,1
"47",2020-04-16,29,5,28,4,0,3
"48",2020-04-16,5,1,12,0,0,1
"49",2020-04-16,219,40,292,66,6,13
"50",2020-04-16,77,20,65,29,0,4
"51",2020-04-16,378,53,495,154,3,10
"52",2020-04-16,83,19,100,46,1,5
"53",2020-04-16,91,10,49,25,4,3
"54",2020-04-16,460,131,520,202,8,30
"55",2020-04-16,145,21,219,54,2,7
"56",2020-04-16,115,30,221,71,2,6
"57",2020-04-16,1069,154,1010,542,11,61
"58",2020-04-16,63,11,22,12,0,1
"59",2020-04-16,934,238,876,331,15,62
"60",2020-04-16,476,67,516,252,9,33
"61",2020-04-16,68,11,119,20,0,5
"62",2020-04-16,491,93,458,128,1,21
"63",2020-04-16,74,26,87,21,3,1
"65",2020-04-16,79,5,60,14,0,4
"66",2020-04-16,47,17,225,23,0,9
"67",2020-04-16,1048,224,1188,397,9,63
"68",2020-04-16,979,135,1467,627,17,83
"69",2020-04-16,1228,246,1237,369,14,52
"70",2020-04-16,89,16,127,57,1,5
"71",2020-04-16,190,32,299,113,9,19
"72",2020-04-16,141,17,167,34,1,12
"73",2020-04-16,95,21,229,30,2,4
"74",2020-04-16,274,61,458,99,9,29
"75",2020-04-16,3103,727,2640,1090,36,160
"76",2020-04-16,299,89,346,109,5,14
"77",2020-04-16,841,181,1048,306,20,79
"78",2020-04-16,987,163,949,317,11,64
"79",2020-04-16,33,7,29,12,0,1
"80",2020-04-16,358,60,332,136,2,15
"82",2020-04-16,17,8,21,3,0,4
"83",2020-04-16,313,45,423,72,5,19
"84",2020-04-16,69,16,129,23,0,0
"86",2020-04-16,61,24,65,25,3,6
"87",2020-04-16,63,13,66,15,2,2
"88",2020-04-16,277,30,308,187,4,12
"89",2020-04-16,96,19,106,33,1,1
"90",2020-04-16,195,32,282,124,1,14
"91",2020-04-16,1171,200,747,273,13,49
"92",2020-04-16,1977,406,1856,620,21,102
"93",2020-04-16,1569,242,1384,609,22,91
"94",2020-04-16,2249,327,1407,681,40,108
"95",2020-04-16,937,173,1248,423,16,82
"971",2020-04-16,34,17,59,10,0,2
"972",2020-04-16,40,17,55,6,0,2
"973",2020-04-16,8,1,24,0,0,10
"974",2020-04-16,19,4,83,0,0,7
"976",2020-04-16,22,6,39,4,1,2
"1",2020-04-17,152,24,177,55,3,8
"2",2020-04-17,277,44,345,165,6,12
"3",2020-04-17,61,19,87,19,0,1
"4",2020-04-17,34,3,75,6,0,1
"5",2020-04-17,42,11,81,5,1,0
"6",2020-04-17,263,58,326,95,7,29
"7",2020-04-17,104,23,217,48,3,9
"8",2020-04-17,68,16,87,27,2,6
"9",2020-04-17,14,2,19,2,1,4
"10",2020-04-17,261,26,243,74,2,13
"11",2020-04-17,71,8,117,41,0,6
"12",2020-04-17,58,4,68,19,0,2
"13",2020-04-17,1181,246,1515,238,10,65
"14",2020-04-17,140,36,123,49,2,10
"15",2020-04-17,23,7,19,0,0,6
"16",2020-04-17,12,4,33,9,0,0
"17",2020-04-17,82,17,68,28,1,1
"18",2020-04-17,78,4,48,40,3,6
"19",2020-04-17,57,12,45,18,0,1
"21",2020-04-17,380,74,465,154,5,23
"22",2020-04-17,72,8,82,23,1,2
"23",2020-04-17,31,12,14,4,0,0
"24",2020-04-17,55,6,39,5,1,3
"25",2020-04-17,213,66,312,88,3,13
"26",2020-04-17,189,54,272,97,5,14
"27",2020-04-17,94,6,68,48,1,5
"28",2020-04-17,253,26,222,62,4,13
"29",2020-04-17,101,29,102,26,2,5
"2A",2020-04-17,70,12,60,37,1,0
"2B",2020-04-17,14,2,75,5,0,1
"30",2020-04-17,121,38,127,32,3,2
"31",2020-04-17,206,93,334,34,3,13
"33",2020-04-17,295,85,461,81,7,15
"34",2020-04-17,154,45,443,89,0,14
"35",2020-04-17,194,28,187,51,2,9
"36",2020-04-17,96,9,38,39,1,8
"37",2020-04-17,179,44,145,45,3,6
"38",2020-04-17,255,43,270,63,1,8
"39",2020-04-17,145,17,83,34,0,1
"40",2020-04-17,32,6,33,10,0,0
"41",2020-04-17,107,18,77,29,1,4
"42",2020-04-17,489,90,421,134,2,24
"43",2020-04-17,29,3,58,6,0,2
"44",2020-04-17,291,51,280,88,2,7
"45",2020-04-17,260,73,291,49,0,14
"46",2020-04-17,22,7,64,7,1,8
"47",2020-04-17,29,4,31,5,1,3
"48",2020-04-17,5,1,12,0,0,0
"49",2020-04-17,208,40,302,69,3,10
"50",2020-04-17,74,15,67,29,0,2
"51",2020-04-17,375,53,518,161,7,23
"52",2020-04-17,83,19,103,46,0,3
"53",2020-04-17,92,10,53,26,1,4
"54",2020-04-17,450,127,535,207,5,15
"55",2020-04-17,147,18,222,63,9,3
"56",2020-04-17,116,28,225,71,0,4
"57",2020-04-17,1055,155,1060,549,7,50
"58",2020-04-17,61,10,26,12,0,4
"59",2020-04-17,917,238,926,347,16,50
"60",2020-04-17,492,66,537,258,6,21
"61",2020-04-17,70,13,119,23,3,0
"62",2020-04-17,474,88,496,145,17,38
"63",2020-04-17,71,26,91,22,1,4
"64",2020-04-17,86,19,112,20,2,0
"65",2020-04-17,77,4,64,14,0,4
"66",2020-04-17,38,15,230,24,1,5
"67",2020-04-17,1023,212,1255,414,17,67
"68",2020-04-17,994,134,1485,628,1,18
"69",2020-04-17,1238,235,1300,376,7,63
"70",2020-04-17,95,17,130,58,1,3
"71",2020-04-17,201,30,311,115,2,12
"72",2020-04-17,140,15,174,35,1,7
"73",2020-04-17,92,19,244,31,1,15
"74",2020-04-17,262,58,481,103,4,23
"75",2020-04-17,3083,697,2792,1132,42,152
"76",2020-04-17,282,82,366,113,4,20
"77",2020-04-17,845,179,1125,325,19,77
"78",2020-04-17,972,154,996,328,11,47
"79",2020-04-17,34,6,30,12,0,1
"80",2020-04-17,357,58,358,139,3,26
"81",2020-04-17,45,15,56,15,0,0
"82",2020-04-17,14,8,26,3,0,5
"83",2020-04-17,304,43,440,80,8,17
"84",2020-04-17,65,17,135,23,0,6
"85",2020-04-17,71,15,101,24,0,6
"86",2020-04-17,57,21,69,25,0,4
"87",2020-04-17,60,11,67,16,1,1
"88",2020-04-17,269,29,320,189,2,12
"89",2020-04-17,97,19,109,33,0,3
"90",2020-04-17,188,29,292,129,5,10
"91",2020-04-17,1196,187,788,297,24,41
"92",2020-04-17,1942,393,1939,641,21,83
"93",2020-04-17,1561,229,1502,654,45,118
"94",2020-04-17,2248,334,1478,700,19,71
"95",2020-04-17,919,168,1307,433,10,59
"971",2020-04-17,36,19,59,10,0,0
"972",2020-04-17,38,17,59,6,0,4
"973",2020-04-17,8,2,25,0,0,1
"974",2020-04-17,17,3,86,0,0,3
"976",2020-04-17,22,6,41,4,0,2
"1",2020-04-18,173,25,181,60,5,4
"2",2020-04-18,271,41,355,168,3,10
"3",2020-04-18,57,17,90,22,3,3
"4",2020-04-18,34,3,76,6,0,1
"5",2020-04-18,38,9,85,6,1,4
"6",2020-04-18,276,56,328,97,2,2
"7",2020-04-18,110,23,223,49,1,6
"8",2020-04-18,68,16,93,32,5,6
"9",2020-04-18,14,2,19,2,0,0
"10",2020-04-18,266,26,244,74,0,1
"11",2020-04-18,68,8,126,42,1,9
"12",2020-04-18,65,4,69,19,0,1
"13",2020-04-18,1131,234,1600,247,9,85
"14",2020-04-18,139,34,132,49,0,9
"15",2020-04-18,22,7,20,0,0,1
"16",2020-04-18,11,3,34,9,0,1
"17",2020-04-18,85,19,71,28,0,3
"18",2020-04-18,78,4,48,41,1,0
"19",2020-04-18,61,11,47,20,2,2
"21",2020-04-18,391,77,468,159,5,3
"22",2020-04-18,70,7,85,23,0,3
"24",2020-04-18,55,6,39,5,0,0
"25",2020-04-18,192,59,333,93,5,21
"26",2020-04-18,173,50,286,100,3,14
"27",2020-04-18,96,6,69,50,2,1
"28",2020-04-18,254,23,231,62,0,9
"29",2020-04-18,101,27,103,30,4,1
"2A",2020-04-18,63,10,68,37,0,8
"2B",2020-04-18,13,2,78,5,0,3
"31",2020-04-18,196,91,349,34,0,15
"32",2020-04-18,42,3,23,11,1,0
"33",2020-04-18,282,85,484,86,5,23
"34",2020-04-18,167,47,464,90,1,21
"35",2020-04-18,181,28,204,56,5,17
"36",2020-04-18,99,9,38,41,2,0
"37",2020-04-18,173,42,151,48,3,6
"38",2020-04-18,247,39,291,65,2,21
"39",2020-04-18,139,14,94,37,3,11
"40",2020-04-18,30,6,35,10,0,2
"41",2020-04-18,109,17,78,31,2,1
"42",2020-04-18,470,93,445,139,5,24
"43",2020-04-18,39,3,62,6,0,4
"44",2020-04-18,282,45,293,92,4,13
"45",2020-04-18,250,71,307,53,4,16
"46",2020-04-18,22,7,90,7,0,26
"47",2020-04-18,32,4,32,5,0,1
"48",2020-04-18,5,1,12,0,0,0
"49",2020-04-18,205,38,306,73,4,4
"50",2020-04-18,72,15,69,30,1,2
"51",2020-04-18,344,48,548,175,14,30
"52",2020-04-18,84,23,109,48,2,6
"53",2020-04-18,91,11,56,26,0,3
"54",2020-04-18,443,118,554,220,13,19
"55",2020-04-18,152,18,229,66,3,7
"56",2020-04-18,116,26,235,72,1,10
"57",2020-04-18,1024,150,1117,560,11,57
"58",2020-04-18,60,11,28,14,2,2
"59",2020-04-18,923,234,955,355,8,29
"60",2020-04-18,494,65,546,261,3,9
"61",2020-04-18,67,13,127,23,0,8
"62",2020-04-18,475,82,527,148,3,31
"63",2020-04-18,70,22,95,24,2,4
"64",2020-04-18,79,13,124,20,0,12
"65",2020-04-18,76,4,68,14,0,4
"66",2020-04-18,32,14,236,24,0,6
"67",2020-04-18,1010,206,1311,424,10,56
"68",2020-04-18,972,126,1525,632,4,40
"69",2020-04-18,1215,227,1358,390,14,58
"70",2020-04-18,96,17,130,58,0,0
"71",2020-04-18,202,29,316,116,1,5
"72",2020-04-18,141,17,180,36,1,6
"73",2020-04-18,88,18,254,32,1,10
"74",2020-04-18,278,54,492,105,2,11
"75",2020-04-18,3013,685,2927,1160,28,135
"76",2020-04-18,283,78,392,115,2,26
"77",2020-04-18,768,175,1248,351,26,123
"78",2020-04-18,882,140,1104,334,6,108
"79",2020-04-18,35,5,30,12,0,0
"80",2020-04-18,353,54,361,145,6,3
"81",2020-04-18,45,15,58,15,0,2
"82",2020-04-18,14,8,26,3,0,0
"83",2020-04-18,303,45,452,83,3,12
"84",2020-04-18,64,17,141,24,1,6
"85",2020-04-18,68,14,104,24,0,3
"86",2020-04-18,51,18,71,25,0,2
"87",2020-04-18,59,11,68,16,0,1
"88",2020-04-18,269,26,328,191,2,8
"89",2020-04-18,90,19,113,37,4,4
"90",2020-04-18,181,29,306,130,1,14
"91",2020-04-18,1176,182,824,305,8,36
"92",2020-04-18,1956,390,2004,662,21,65
"93",2020-04-18,1571,222,1544,680,26,42
"94",2020-04-18,2217,336,1554,722,22,76
"95",2020-04-18,907,163,1350,450,17,43
"971",2020-04-18,33,17,61,11,1,2
"972",2020-04-18,36,14,60,7,1,1
"973",2020-04-18,8,2,25,0,0,0
"974",2020-04-18,14,2,89,0,0,3
"976",2020-04-18,24,5,41,4,0,0
"1",2020-04-19,172,24,183,60,0,2
"2",2020-04-19,275,41,356,169,1,1
"3",2020-04-19,57,18,90,22,0,0
"4",2020-04-19,38,3,78,6,0,2
"5",2020-04-19,38,9,85,6,0,0
"6",2020-04-19,279,55,328,98,1,0
"7",2020-04-19,111,23,223,49,0,0
"8",2020-04-19,67,16,95,35,3,2
"9",2020-04-19,13,2,20,2,0,1
"10",2020-04-19,268,27,244,76,2,0
"11",2020-04-19,70,9,126,42,0,0
"12",2020-04-19,64,4,71,19,0,2
"13",2020-04-19,1048,218,1679,251,4,79
"14",2020-04-19,145,36,133,50,1,1
"15",2020-04-19,27,6,20,0,0,0
"16",2020-04-19,13,3,34,9,0,0
"17",2020-04-19,84,19,71,29,1,0
"18",2020-04-19,83,4,49,42,1,1
"19",2020-04-19,66,11,47,20,0,0
"21",2020-04-19,367,66,499,165,6,31
"22",2020-04-19,65,7,90,23,0,5
"23",2020-04-19,32,12,12,5,0,0
"24",2020-04-19,54,6,40,6,1,1
"25",2020-04-19,190,53,339,94,1,6
"26",2020-04-19,174,48,289,101,1,3
"27",2020-04-19,96,6,69,50,0,0
"28",2020-04-19,257,23,234,63,1,3
"29",2020-04-19,101,26,105,30,0,2
"2A",2020-04-19,64,10,70,39,2,2
"2B",2020-04-19,11,2,80,5,0,2
"30",2020-04-19,118,37,136,31,0,0
"31",2020-04-19,195,90,355,36,2,6
"32",2020-04-19,45,3,23,11,0,0
"33",2020-04-19,293,88,493,88,2,9
"35",2020-04-19,177,28,210,59,3,6
"36",2020-04-19,98,9,38,44,3,0
"37",2020-04-19,168,42,156,49,1,5
"38",2020-04-19,245,35,296,68,3,5
"39",2020-04-19,136,14,97,37,0,3
"40",2020-04-19,30,6,35,10,0,0
"41",2020-04-19,109,17,78,31,0,0
"42",2020-04-19,479,96,452,140,1,7
"43",2020-04-19,36,3,62,6,0,0
"44",2020-04-19,285,45,294,95,3,1
"45",2020-04-19,255,74,312,55,2,5
"46",2020-04-19,23,7,92,8,1,2
"47",2020-04-19,33,4,33,5,0,1
"48",2020-04-19,5,1,12,0,0,0
"49",2020-04-19,202,38,310,75,2,4
"50",2020-04-19,77,16,69,30,0,0
"51",2020-04-19,352,49,550,175,0,2
"52",2020-04-19,86,23,110,49,1,1
"53",2020-04-19,91,10,57,26,0,1
"54",2020-04-19,441,112,561,225,5,7
"55",2020-04-19,155,18,231,68,2,2
"57",2020-04-19,1006,148,1136,569,9,19
"58",2020-04-19,59,11,28,15,1,0
"59",2020-04-19,927,231,973,361,6,18
"60",2020-04-19,508,64,557,265,4,11
"61",2020-04-19,70,13,127,24,1,0
"62",2020-04-19,473,82,538,151,3,11
"63",2020-04-19,67,22,97,25,1,2
"64",2020-04-19,78,13,125,20,0,1
"65",2020-04-19,77,4,69,14,0,1
"66",2020-04-19,33,15,236,24,0,0
"67",2020-04-19,1008,205,1325,429,5,14
"68",2020-04-19,957,119,1556,634,2,31
"69",2020-04-19,1243,227,1368,398,8,10
"70",2020-04-19,96,17,130,58,0,0
"71",2020-04-19,202,30,324,120,4,8
"72",2020-04-19,141,14,181,38,2,1
"73",2020-04-19,90,17,258,32,0,4
"74",2020-04-19,282,54,495,110,5,3
"75",2020-04-19,2939,661,3018,1193,33,91
"76",2020-04-19,278,78,407,120,5,15
"77",2020-04-19,774,170,1273,362,11,25
"78",2020-04-19,894,139,1113,334,0,9
"79",2020-04-19,34,5,30,13,1,0
"80",2020-04-19,356,54,365,148,3,4
"81",2020-04-19,45,15,58,15,0,0
"82",2020-04-19,15,9,26,3,0,0
"83",2020-04-19,307,46,456,84,1,4
"84",2020-04-19,66,17,141,25,1,0
"85",2020-04-19,68,14,105,24,0,1
"86",2020-04-19,51,18,71,25,0,0
"87",2020-04-19,57,11,70,17,1,2
"88",2020-04-19,268,25,331,203,12,3
"89",2020-04-19,94,19,114,38,1,1
"90",2020-04-19,183,29,308,130,0,2
"91",2020-04-19,1194,181,828,312,7,4
"92",2020-04-19,1982,391,2024,668,6,20
"93",2020-04-19,1568,223,1584,692,12,40
"94",2020-04-19,2213,333,1564,732,10,10
"95",2020-04-19,910,156,1362,463,13,12
"971",2020-04-19,34,17,61,11,0,0
"972",2020-04-19,37,13,60,7,0,0
"973",2020-04-19,5,2,28,0,0,3
"974",2020-04-19,17,2,90,0,0,1
"976",2020-04-19,25,4,44,5,1,3
"1",2020-04-20,170,22,186,62,2,3
"2",2020-04-20,304,47,425,175,6,69
"3",2020-04-20,62,18,90,22,0,0
"4",2020-04-20,45,2,80,6,0,2
"5",2020-04-20,38,10,85,6,0,0
"6",2020-04-20,276,50,342,107,9,14
"7",2020-04-20,103,23,232,51,2,9
"8",2020-04-20,66,16,95,40,5,0
"9",2020-04-20,13,1,21,2,0,1
"10",2020-04-20,256,27,263,82,6,19
"11",2020-04-20,65,8,127,43,1,1
"12",2020-04-20,67,4,72,19,0,1
"13",2020-04-20,1051,228,1726,269,18,47
"14",2020-04-20,144,35,134,51,1,1
"15",2020-04-20,28,7,20,0,0,0
"16",2020-04-20,12,3,34,10,1,0
"17",2020-04-20,83,19,72,32,3,1
"18",2020-04-20,83,4,49,43,1,0
"19",2020-04-20,70,13,50,21,1,3
"21",2020-04-20,367,65,505,171,6,6
"22",2020-04-20,63,7,94,24,1,4
"23",2020-04-20,31,11,12,5,0,0
"24",2020-04-20,61,6,40,6,0,0
"25",2020-04-20,193,53,340,95,1,1
"26",2020-04-20,174,47,289,105,4,0
"27",2020-04-20,91,5,75,56,6,6
"28",2020-04-20,245,24,245,66,3,11
"29",2020-04-20,97,25,108,31,1,3
"2A",2020-04-20,62,11,70,41,2,0
"2B",2020-04-20,8,2,82,6,1,2
"30",2020-04-20,136,38,142,34,3,6
"31",2020-04-20,199,87,357,37,1,2
"32",2020-04-20,52,5,24,11,0,1
"33",2020-04-20,298,84,502,92,4,9
"34",2020-04-20,161,46,474,94,4,11
"35",2020-04-20,175,26,212,60,1,2
"36",2020-04-20,99,9,39,46,2,1
"37",2020-04-20,165,42,162,51,2,6
"38",2020-04-20,237,36,308,74,6,12
"39",2020-04-20,136,12,98,37,0,1
"40",2020-04-20,28,6,38,10,0,3
"41",2020-04-20,114,19,85,35,4,7
"42",2020-04-20,473,99,457,145,5,5
"43",2020-04-20,36,3,62,6,0,0
"44",2020-04-20,279,44,299,98,3,5
"45",2020-04-20,254,73,316,57,2,4
"46",2020-04-20,24,8,105,11,3,13
"47",2020-04-20,33,4,33,5,0,0
"48",2020-04-20,5,1,12,0,0,0
"49",2020-04-20,204,41,313,76,1,3
"50",2020-04-20,80,18,70,32,2,1
"51",2020-04-20,342,49,565,183,8,15
"52",2020-04-20,87,23,110,49,0,0
"53",2020-04-20,90,10,58,27,1,1
"54",2020-04-20,439,113,572,228,3,11
"55",2020-04-20,154,17,236,71,3,5
"56",2020-04-20,120,25,236,74,1,2
"57",2020-04-20,1006,143,1158,579,10,22
"58",2020-04-20,58,10,28,18,3,0
"59",2020-04-20,957,228,990,368,7,17
"60",2020-04-20,495,60,570,278,13,13
"61",2020-04-20,66,13,132,25,1,5
"62",2020-04-20,475,86,550,155,4,12
"63",2020-04-20,69,22,97,27,2,0
"64",2020-04-20,79,13,126,20,0,1
"65",2020-04-20,83,4,70,16,2,1
"66",2020-04-20,31,13,237,25,1,1
"67",2020-04-20,1021,207,1336,435,6,11
"69",2020-04-20,1229,231,1397,416,18,29
"70",2020-04-20,90,19,143,60,2,13
"71",2020-04-20,209,30,326,123,3,2
"72",2020-04-20,136,14,181,41,3,0
"73",2020-04-20,87,18,259,36,4,1
"74",2020-04-20,268,50,507,118,8,12
"75",2020-04-20,2933,642,3069,1239,46,51
"77",2020-04-20,752,157,1316,380,18,43
"78",2020-04-20,901,136,1135,357,23,22
"79",2020-04-20,33,5,30,13,0,0
"80",2020-04-20,347,52,374,151,3,9
"81",2020-04-20,41,11,60,17,2,2
"82",2020-04-20,16,8,27,3,0,1
"83",2020-04-20,312,49,458,87,3,2
"85",2020-04-20,66,14,106,26,2,1
"86",2020-04-20,59,17,72,25,0,1
"87",2020-04-20,51,10,74,20,3,4
"88",2020-04-20,245,23,361,209,6,30
"89",2020-04-20,93,20,117,41,3,3
"91",2020-04-20,1201,186,842,322,10,14
"92",2020-04-20,1983,384,2091,699,31,67
"93",2020-04-20,1562,223,1649,704,12,65
"94",2020-04-20,2215,334,1608,764,32,44
"95",2020-04-20,927,148,1385,477,14,23
"971",2020-04-20,32,16,62,12,1,1
"972",2020-04-20,35,10,60,9,2,0
"973",2020-04-20,4,2,29,0,0,1
"974",2020-04-20,15,2,93,0,0,3
"976",2020-04-20,22,4,47,6,1,3
"1",2020-04-21,169,23,196,64,2,10
"2",2020-04-21,295,40,515,183,8,90
"3",2020-04-21,56,18,99,22,0,9
"4",2020-04-21,41,2,84,7,1,4
"5",2020-04-21,41,9,87,6,0,2
"6",2020-04-21,269,48,356,108,1,14
"7",2020-04-21,104,26,237,52,1,5
"8",2020-04-21,65,16,97,41,1,2
"9",2020-04-21,12,1,22,2,0,1
"10",2020-04-21,248,18,273,85,3,10
"11",2020-04-21,69,9,133,43,0,6
"12",2020-04-21,65,3,73,20,1,1
"13",2020-04-21,1056,211,1804,289,20,78
"14",2020-04-21,145,33,142,52,1,8
"15",2020-04-21,30,7,20,1,1,0
"16",2020-04-21,12,3,34,10,0,0
"17",2020-04-21,83,17,75,32,0,3
"18",2020-04-21,91,4,53,43,0,4
"19",2020-04-21,72,12,52,22,1,2
"21",2020-04-21,366,63,517,178,7,12
"22",2020-04-21,58,6,101,24,0,7
"23",2020-04-21,29,10,14,5,0,2
"25",2020-04-21,196,52,348,99,4,8
"26",2020-04-21,163,46,307,108,3,18
"27",2020-04-21,102,4,76,58,2,1
"28",2020-04-21,240,23,256,70,4,11
"29",2020-04-21,86,25,113,31,0,5
"2A",2020-04-21,60,11,74,41,0,4
"2B",2020-04-21,7,2,83,7,1,1
"30",2020-04-21,147,37,143,36,2,1
"31",2020-04-21,190,78,375,37,0,18
"32",2020-04-21,50,5,27,13,2,3
"33",2020-04-21,286,79,522,96,4,20
"34",2020-04-21,152,42,484,96,2,10
"35",2020-04-21,172,25,221,63,3,9
"36",2020-04-21,111,8,45,50,4,6
"37",2020-04-21,168,41,168,51,0,6
"38",2020-04-21,223,31,339,81,7,31
"39",2020-04-21,122,9,112,39,2,14
"41",2020-04-21,111,17,90,36,1,5
"42",2020-04-21,463,96,483,151,6,26
"43",2020-04-21,37,2,62,7,1,0
"44",2020-04-21,278,42,310,101,3,11
"45",2020-04-21,249,63,331,58,1,15
"46",2020-04-21,26,9,108,13,2,3
"47",2020-04-21,35,4,33,5,0,0
"48",2020-04-21,5,1,12,0,0,0
"49",2020-04-21,193,37,324,78,2,11
"50",2020-04-21,74,18,78,32,0,8
"51",2020-04-21,342,46,593,186,3,28
"52",2020-04-21,80,22,147,51,2,37
"53",2020-04-21,90,10,61,27,0,3
"54",2020-04-21,439,115,580,234,6,8
"55",2020-04-21,145,15,246,74,3,10
"56",2020-04-21,120,22,243,75,1,7
"57",2020-04-21,988,140,1198,586,7,40
"58",2020-04-21,58,9,29,19,1,1
"59",2020-04-21,932,217,1060,381,13,70
"60",2020-04-21,487,58,597,283,5,27
"61",2020-04-21,63,13,139,25,0,7
"62",2020-04-21,473,85,620,164,9,70
"63",2020-04-21,66,22,102,27,0,5
"64",2020-04-21,79,13,126,20,0,0
"65",2020-04-21,77,4,75,17,1,5
"66",2020-04-21,29,13,242,25,0,5
"67",2020-04-21,1026,202,1386,450,15,50
"68",2020-04-21,971,116,1577,642,3,54
"69",2020-04-21,1213,219,1452,431,15,55
"70",2020-04-21,91,18,146,60,0,3
"71",2020-04-21,207,30,346,135,12,20
"73",2020-04-21,86,13,268,38,2,9
"74",2020-04-21,262,48,524,121,3,17
"75",2020-04-21,2856,614,3208,1273,34,139
"76",2020-04-21,266,69,431,125,6,21
"77",2020-04-21,727,151,1374,397,17,58
"78",2020-04-21,890,136,1175,371,14,40
"79",2020-04-21,31,5,32,14,1,2
"80",2020-04-21,330,48,399,152,1,25
"81",2020-04-21,39,11,62,17,0,2
"82",2020-04-21,16,8,27,3,0,0
"83",2020-04-21,307,50,470,90,3,12
"84",2020-04-21,67,14,144,26,2,1
"85",2020-04-21,65,13,112,28,2,6
"86",2020-04-21,59,17,73,25,0,1
"87",2020-04-21,52,10,77,21,1,3
"88",2020-04-21,241,22,379,215,6,18
"89",2020-04-21,104,20,121,41,0,4
"90",2020-04-21,175,28,322,134,2,15
"91",2020-04-21,1185,181,893,341,19,51
"92",2020-04-21,1923,365,2223,716,17,132
"93",2020-04-21,1560,213,1714,717,13,65
"94",2020-04-21,2214,323,1691,794,30,83
"95",2020-04-21,914,143,1431,485,8,46
"971",2020-04-21,24,15,68,12,0,6
"972",2020-04-21,36,10,60,13,4,0
"973",2020-04-21,3,1,31,1,1,2
"974",2020-04-21,14,2,94,0,0,1
"976",2020-04-21,21,4,52,6,0,5
"1",2020-04-22,167,19,211,68,4,15
"2",2020-04-22,279,40,554,188,5,39
"3",2020-04-22,55,18,103,23,1,4
"4",2020-04-22,31,2,91,7,0,7
"5",2020-04-22,41,9,88,6,0,1
"6",2020-04-22,276,48,369,110,2,13
"7",2020-04-22,102,25,242,53,1,5
"8",2020-04-22,59,13,104,42,1,7
"9",2020-04-22,12,1,22,2,0,0
"10",2020-04-22,253,18,300,90,5,27
"11",2020-04-22,67,9,135,44,1,2
"12",2020-04-22,62,3,79,20,0,6
"13",2020-04-22,1059,204,1881,319,30,77
"14",2020-04-22,142,30,146,52,0,4
"15",2020-04-22,28,6,22,1,0,2
"16",2020-04-22,10,2,36,10,0,2
"17",2020-04-22,80,16,75,33,1,0
"18",2020-04-22,84,4,61,47,4,8
"19",2020-04-22,72,10,53,22,0,1
"21",2020-04-22,361,63,529,179,1,12
"22",2020-04-22,58,6,104,24,0,3
"23",2020-04-22,27,8,16,5,0,2
"24",2020-04-22,54,6,33,6,0,2
"25",2020-04-22,198,55,358,99,0,10
"26",2020-04-22,151,44,340,108,0,33
"27",2020-04-22,101,4,77,59,1,1
"28",2020-04-22,242,22,263,75,5,7
"29",2020-04-22,82,22,119,31,0,6
"2A",2020-04-22,58,9,79,41,0,5
"2B",2020-04-22,11,2,83,8,1,0
"30",2020-04-22,151,37,143,37,1,0
"31",2020-04-22,179,71,392,39,2,17
"32",2020-04-22,52,6,27,13,0,0
"33",2020-04-22,279,77,540,96,0,18
"34",2020-04-22,146,39,492,96,0,8
"35",2020-04-22,171,25,230,63,0,9
"36",2020-04-22,111,8,50,56,6,5
"37",2020-04-22,168,38,168,53,2,0
"38",2020-04-22,225,33,350,84,3,11
"39",2020-04-22,115,11,124,40,1,12
"40",2020-04-22,28,3,38,10,0,1
"41",2020-04-22,113,15,97,36,0,7
"42",2020-04-22,445,88,501,161,10,18
"43",2020-04-22,38,1,62,7,0,0
"44",2020-04-22,267,37,328,105,4,18
"45",2020-04-22,255,64,338,61,3,7
"46",2020-04-22,26,9,110,14,1,2
"47",2020-04-22,36,3,33,5,0,0
"48",2020-04-22,4,1,13,0,0,1
"49",2020-04-22,188,34,334,82,4,10
"50",2020-04-22,61,14,85,34,2,7
"51",2020-04-22,340,48,612,190,4,19
"53",2020-04-22,92,10,65,27,0,4
